Release Period,State,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage,Measure,Type,State Name,Region,Start Date,End Date,Response Rate (%)
07_2015,AK,H_CLEAN_HSP,8,22,70,Cleanliness of Hospital Environment,Individual Item,Alaska,Pacific,2013-10-01,2014-09-30,25.125
07_2015,AK,H_COMP_1,9,17,74,Communication with Nurses,Composite Measure,Alaska,Pacific,2013-10-01,2014-09-30,25.125
07_2015,AK,H_COMP_2,10,15,75,Communication with Doctors,Composite Measure,Alaska,Pacific,2013-10-01,2014-09-30,25.125
07_2015,AK,H_COMP_3,11,21,68,Responsiveness of Hospital Staff,Composite Measure,Alaska,Pacific,2013-10-01,2014-09-30,25.125
07_2015,AK,H_COMP_5,19,17,64,Communication about Medicines,Composite Measure,Alaska,Pacific,2013-10-01,2014-09-30,25.125
07_2015,AK,H_COMP_6,15,0,85,Discharge Information,Composite Measure,Alaska,Pacific,2013-10-01,2014-09-30,25.125
07_2015,AK,H_COMP_7,8,43,49,Care Transition,Composite Measure,Alaska,Pacific,2013-10-01,2014-09-30,25.125
07_2015,AK,H_HSP_RATING,13,22,65,Overall Hospital Rating,Global Item,Alaska,Pacific,2013-10-01,2014-09-30,25.125
07_2015,AK,H_QUIET_HSP,8,34,58,Quietness of Hospital Environment,Individual Item,Alaska,Pacific,2013-10-01,2014-09-30,25.125
07_2015,AK,H_RECMND,7,23,70,Willingness to Recommend the Hospital,Global Item,Alaska,Pacific,2013-10-01,2014-09-30,25.125
07_2015,AL,H_CLEAN_HSP,10,18,72,Cleanliness of Hospital Environment,Individual Item,Alabama,East South Central,2013-10-01,2014-09-30,30.0
07_2015,AL,H_COMP_1,5,14,81,Communication with Nurses,Composite Measure,Alabama,East South Central,2013-10-01,2014-09-30,30.0
07_2015,AL,H_COMP_2,3,11,86,Communication with Doctors,Composite Measure,Alabama,East South Central,2013-10-01,2014-09-30,30.0
07_2015,AL,H_COMP_3,10,21,69,Responsiveness of Hospital Staff,Composite Measure,Alabama,East South Central,2013-10-01,2014-09-30,30.0
07_2015,AL,H_COMP_5,17,16,67,Communication about Medicines,Composite Measure,Alabama,East South Central,2013-10-01,2014-09-30,30.0
07_2015,AL,H_COMP_6,15,0,85,Discharge Information,Composite Measure,Alabama,East South Central,2013-10-01,2014-09-30,30.0
07_2015,AL,H_COMP_7,6,41,53,Care Transition,Composite Measure,Alabama,East South Central,2013-10-01,2014-09-30,30.0
07_2015,AL,H_HSP_RATING,7,20,73,Overall Hospital Rating,Global Item,Alabama,East South Central,2013-10-01,2014-09-30,30.0
07_2015,AL,H_QUIET_HSP,6,23,71,Quietness of Hospital Environment,Individual Item,Alabama,East South Central,2013-10-01,2014-09-30,30.0
07_2015,AL,H_RECMND,5,24,71,Willingness to Recommend the Hospital,Global Item,Alabama,East South Central,2013-10-01,2014-09-30,30.0
07_2015,AR,H_CLEAN_HSP,8,18,74,Cleanliness of Hospital Environment,Individual Item,Arkansas,West South Central,2013-10-01,2014-09-30,28.77777777777778
07_2015,AR,H_COMP_1,5,15,80,Communication with Nurses,Composite Measure,Arkansas,West South Central,2013-10-01,2014-09-30,28.77777777777778
07_2015,AR,H_COMP_2,4,12,84,Communication with Doctors,Composite Measure,Arkansas,West South Central,2013-10-01,2014-09-30,28.77777777777778
07_2015,AR,H_COMP_3,9,22,69,Responsiveness of Hospital Staff,Composite Measure,Arkansas,West South Central,2013-10-01,2014-09-30,28.77777777777778
07_2015,AR,H_COMP_5,18,17,65,Communication about Medicines,Composite Measure,Arkansas,West South Central,2013-10-01,2014-09-30,28.77777777777778
07_2015,AR,H_COMP_6,17,0,83,Discharge Information,Composite Measure,Arkansas,West South Central,2013-10-01,2014-09-30,28.77777777777778
07_2015,AR,H_COMP_7,6,44,50,Care Transition,Composite Measure,Arkansas,West South Central,2013-10-01,2014-09-30,28.77777777777778
07_2015,AR,H_HSP_RATING,8,22,70,Overall Hospital Rating,Global Item,Arkansas,West South Central,2013-10-01,2014-09-30,28.77777777777778
07_2015,AR,H_QUIET_HSP,7,26,67,Quietness of Hospital Environment,Individual Item,Arkansas,West South Central,2013-10-01,2014-09-30,28.77777777777778
07_2015,AR,H_RECMND,5,27,68,Willingness to Recommend the Hospital,Global Item,Arkansas,West South Central,2013-10-01,2014-09-30,28.77777777777778
07_2015,AZ,H_CLEAN_HSP,10,20,70,Cleanliness of Hospital Environment,Individual Item,Arizona,Mountain,2013-10-01,2014-09-30,31.642857142857142
07_2015,AZ,H_COMP_1,5,18,77,Communication with Nurses,Composite Measure,Arizona,Mountain,2013-10-01,2014-09-30,31.642857142857142
07_2015,AZ,H_COMP_2,5,17,78,Communication with Doctors,Composite Measure,Arizona,Mountain,2013-10-01,2014-09-30,31.642857142857142
07_2015,AZ,H_COMP_3,9,25,66,Responsiveness of Hospital Staff,Composite Measure,Arizona,Mountain,2013-10-01,2014-09-30,31.642857142857142
07_2015,AZ,H_COMP_5,18,18,64,Communication about Medicines,Composite Measure,Arizona,Mountain,2013-10-01,2014-09-30,31.642857142857142
07_2015,AZ,H_COMP_6,13,0,87,Discharge Information,Composite Measure,Arizona,Mountain,2013-10-01,2014-09-30,31.642857142857142
07_2015,AZ,H_COMP_7,6,44,50,Care Transition,Composite Measure,Arizona,Mountain,2013-10-01,2014-09-30,31.642857142857142
07_2015,AZ,H_HSP_RATING,8,22,70,Overall Hospital Rating,Global Item,Arizona,Mountain,2013-10-01,2014-09-30,31.642857142857142
07_2015,AZ,H_QUIET_HSP,11,31,58,Quietness of Hospital Environment,Individual Item,Arizona,Mountain,2013-10-01,2014-09-30,31.642857142857142
07_2015,AZ,H_RECMND,6,24,70,Willingness to Recommend the Hospital,Global Item,Arizona,Mountain,2013-10-01,2014-09-30,31.642857142857142
07_2015,CA,H_CLEAN_HSP,10,20,70,Cleanliness of Hospital Environment,Individual Item,California,Pacific,2013-10-01,2014-09-30,27.083870967741934
07_2015,CA,H_COMP_1,6,19,75,Communication with Nurses,Composite Measure,California,Pacific,2013-10-01,2014-09-30,27.083870967741934
07_2015,CA,H_COMP_2,6,16,78,Communication with Doctors,Composite Measure,California,Pacific,2013-10-01,2014-09-30,27.083870967741934
07_2015,CA,H_COMP_3,12,26,62,Responsiveness of Hospital Staff,Composite Measure,California,Pacific,2013-10-01,2014-09-30,27.083870967741934
07_2015,CA,H_COMP_5,20,18,62,Communication about Medicines,Composite Measure,California,Pacific,2013-10-01,2014-09-30,27.083870967741934
07_2015,CA,H_COMP_6,16,0,84,Discharge Information,Composite Measure,California,Pacific,2013-10-01,2014-09-30,27.083870967741934
07_2015,CA,H_COMP_7,7,44,49,Care Transition,Composite Measure,California,Pacific,2013-10-01,2014-09-30,27.083870967741934
07_2015,CA,H_HSP_RATING,9,23,68,Overall Hospital Rating,Global Item,California,Pacific,2013-10-01,2014-09-30,27.083870967741934
